Vmag,Plx,B-V,SpType
5.56,5.31,-0.054,B8V
5.77,5.75,-0.019,B8V
8.01,2.9,0.076,B8V
8.6,3.09,0.1,B8V
7.6,3.68,0.11,B8V
8.69,0.81,0.12,B8V
7.98,3.09,0.13,B8V
9.23,3.25,0.151,B8V
9.53,1.04,0.174,B8V
8.79,2.32,0.239,B8V
9.74,2.17,0.25,B8V
9.95,0.6,0.251,B8V
8.71,-2.76,0.336,B8V
9.33,-0.37,0.432,B8V
2.1,9.19,1.37,B8V
4.74,9.2,-0.098,B8Vn
6.23,1.42,-0.036,B9.5III
6.18,3.21,-0.004,B9.5III
6.03,7.21,-0.063,B9.5IIIMNp.
7.22,1.73,0.054,B9.5IV
5.56,7.96,-0.052,B9.5V
5.5,7.87,-0.043,B9.5V
5.86,11.37,-0.039,B9.5V
6.05,7.55,-0.024,B9.5V
5.69,12.36,-0.014,B9.5V
6.22,2.84,0.032,B9.5V
10.99,-1.2,0.05,B9.5V
5.69,7.76,-0.01,B9.5Vn
6.69,4.29,-0.008,B9/B9.5IV
7.94,3.1,0.051,B9/B9.5V
9.53,0.18,0.691,B9Iab
4.9,8.37,-0.091,B9III
6.47,5.77,-0.049,B9III
5.57,3.32,-0.023,B9III
5.38,4.27,0.008,B9III
8.29,2.67,0.061,B9III
8.62,3.35,0.124,B9III
6.11,1.94,0.159,B9III
9.35,7.85,0.244,B9III
5.94,4.54,-0.003,B9IIIn
6.25,2.45,-0.042,B9IIIp Mn
6.61,4.02,-0.04,B9IIIsp...
5.57,8.99,-0.072,B9IV
5.9,8.32,-0.067,B9IV
6.55,5.13,-0.06,B9IV
5.72,6.17,-0.056,B9IV
7.39,2.53,-0.018,B9IV
8.34,3.86,0.158,B9IV
8.11,1.98,0.168,B9IV
8.85,1.02,0.187,B9IV
9.64,3.1,0.2,B9IV
8.93,3.21,-0.029,B9IV/V
4.55,14.31,-0.047,B9IVn
5.63,12.61,-0.059,B9IV-V
6.01,2.81,-0.03,B9IV-Vn
5.77,9.4,-0.084,B9V
6.69,5.64,-0.078,B9V
8.3,2,-0.069,B9V
5.54,10.04,-0.064,B9V
4.36,23.35,-0.064,B9V
9.24,1.13,-0.062,B9V
8.38,4.33,-0.06,B9V
6.59,6.25,-0.06,B9V
5.57,6.72,-0.058,B9V
10.58,0.91,-0.057,B9V
8.4,2.9,-0.057,B9V
8.68,2.07,-0.052,B9V
6.77,4.36,-0.05,B9V
7.64,4.43,-0.048,B9V
5.5,10.65,-0.046,B9V
7.9,4.39,-0.03,B9V
5.18,11.62,-0.022,B9V
7.99,2.75,-0.005,B9V
8.59,3.66,-0.001,B9V
9,2.24,0.003,B9V
6.58,3.41,0.008,B9V
7.84,3.35,0.018,B9V
6.4,5,0.018,B9V
6.58,3.84,0.021,B9V
7.26,3.93,0.049,B9V
8.79,2.03,0.062,B9V
9.29,5.12,0.084,B9V
8.27,2.51,0.12,B9V
8.87,3.57,0.155,B9V
8.91,4.03,0.2,B9V
8.67,5.48,0.223,B9V
8.99,3.99,0.26,B9V
9.23,2.6,0.32,B9V
8.4,1.29,0.169,B9V...
6.35,5.28,-0.044,B9Vn
8.73,4.91,0.344,F0/F2IV
9.42,3.87,0.459,F0/F2IV/V
9.65,3.58,0.466,F0/F2IV/V
10.3,0.63,0.254,F0/F2V
9.69,3.11,0.403,F0/F2V
10.12,4.34,0.406,F0/F2V
7.75,14.44,0.418,F0/F2V
9.76,3.49,0.483,F0:III/IV
4.95,1.4,0.683,F0Ia
8.87,0.58,0.889,F0Ia
7.83,1.08,0.592,F0Iab:
8.55,5.55,0.449,F0II
5.92,2.16,0.512,F0II
8.07,5.78,0.328,F0II/III
7.94,6.52,0.397,F0II/III
8.67,2.84,0.294,F0III
7.64,4.53,0.317,F0III
8.27,4.17,0.323,F0III
7.43,8.34,0.325,F0III
6.05,16.13,0.338,F0III
7.17,6.78,0.345,F0III
8.91,3.93,0.356,F0III
8.32,4.74,0.361,F0III
9.15,2.75,0.363,F0III
7.8,4.02,0.363,F0III
7.94,11.59,0.383,F0III
8.59,2.3,0.391,F0III
5.58,0.86,0.407,F0III
8.12,4.45,0.436,F0III
8.28,6.03,0.473,F0III
7.91,5.53,0.314,F0III/IV
8.02,7.52,0.349,F0III/IV
7.71,7.73,0.5,F0III/IV+..
5.51,27.84,0.334,F0III-IV
5.95,16.75,0.259,F0IV
9.43,7.79,0.293,F0IV
6.98,12.21,0.309,F0IV
6.78,6.42,0.311,F0IV
6.02,12.47,0.312,F0IV
7.59,7.39,0.313,F0IV
6.47,11.38,0.314,F0IV
7.75,7.49,0.323,F0IV
5.71,28.57,0.331,F0IV
7.03,12.7,0.34,F0IV
7.28,11.08,0.342,F0IV
8.64,5.82,0.348,F0IV
9.01,6.06,0.362,F0IV
9.88,4.51,0.372,F0IV
9.45,3.7,0.428,F0IV
9.02,4.84,0.488,F0IV
7.63,7.6,0.309,F0IV/V
6.88,14.68,0.312,F0IV/V
7.95,7.46,0.317,F0IV/V
8.55,7.02,0.347,F0IV/V
8.05,5.53,0.352,F0IV/V
6.07,21.5,0.356,F0IV/V
8.62,5.37,0.364,F0IV/V
9.21,6.6,0.38,F0IV/V
9.32,6.32,0.388,F0IV/V
6.37,13.04,0.283,F0IVn
6.21,14.83,0.235,F0V
10.27,3.21,0.238,F0V
7.18,5.08,0.251,F0V
5.78,9.87,0.26,F0V
5.15,5.82,0.261,F0V
7.11,8.76,0.28,F0V
8.44,9.13,0.289,F0V
4.79,24.49,0.29,F0V
2.86,45.74,0.29,F0V
8.44,4.7,0.298,F0V
9.17,2.4,0.311,F0V
8.64,5.81,0.312,F0V
8.79,5.56,0.314,F0V
5.7,26.53,0.315,F0V
9.32,3.94,0.319,F0V
5.51,27.55,0.321,F0V
8.46,6.89,0.327,F0V
6.67,11.91,0.33,F0V
9.17,2.17,0.331,F0V
8.79,5.53,0.333,F0V
9.74,4.25,0.334,F0V
8.47,6.57,0.337,F0V
8.49,4.61,0.34,F0V
8.41,5.88,0.341,F0V
5.58,14.21,0.346,F0V
8.06,7.28,0.347,F0V
5.54,29.58,0.347,F0V
8.94,6.86,0.348,F0V
6.78,15.91,0.348,F0V
10.09,2.01,0.349,F0V
5.22,35.92,0.35,F0V
9.27,6.55,0.351,F0V
8.93,4.14,0.353,F0V
8.52,3.87,0.354,F0V
9.75,4.53,0.354,F0V
8.31,6.75,0.354,F0V
8.15,8.93,0.354,F0V
9.91,4.45,0.355,F0V
8.38,8.9,0.355,F0V
9.35,3.19,0.36,F0V
8.59,4.02,0.36,F0V
8.17,8.3,0.361,F0V
9.09,4.62,0.362,F0V
7.86,7.55,0.363,F0V
8.14,5.39,0.364,F0V
8.62,8.15,0.365,F0V
8.94,1.91,0.366,F0V
9.06,4.16,0.368,F0V
8.91,3.21,0.37,F0V
8.06,7.75,0.37,F0V
9.22,0.04,0.373,F0V
8.82,6.44,0.374,F0V
10.67,3.68,0.375,F0V
8.47,8.05,0.375,F0V
8.93,5.63,0.376,F0V
8.93,3.49,0.377,F0V
9.57,4.63,0.38,F0V
8.49,6.86,0.38,F0V
8.36,7.54,0.38,F0V
9.38,4.06,0.381,F0V
9.45,4.27,0.381,F0V
9.08,6.43,0.381,F0V
7.88,5.78,0.383,F0V
9.63,1.3,0.385,F0V
9.96,-0.79,0.388,F0V
10.44,3.74,0.391,F0V
8.76,8.92,0.391,F0V
9.17,4.43,0.393,F0V
9.18,4.27,0.394,F0V
9.32,0.76,0.395,F0V
9.67,2.83,0.397,F0V
8.41,5.86,0.398,F0V
9.29,5.16,0.4,F0V
8.62,6.66,0.403,F0V
9.06,6.43,0.404,F0V
8.47,8.4,0.407,F0V
9.37,4.95,0.409,F0V
8.94,5.97,0.409,F0V
9.83,5.18,0.415,F0V
7.32,16.95,0.417,F0V
9.75,0.28,0.42,F0V
10.22,1.22,0.42,F0V
9.81,1.44,0.422,F0V
9.04,4.31,0.422,F0V
8.55,6.54,0.427,F0V
8.95,3.96,0.443,F0V
9.91,2.46,0.449,F0V
9.9,3.97,0.453,F0V
9.65,2.52,0.465,F0V
10.17,1.91,0.474,F0V
10.13,2.92,0.492,F0V
6.11,9.35,0.27,F0Vn
6.77,11.85,0.328,F0Vn
5.27,29.8,0.345,F0Vn
9.6,1.69,0.417,F0Vw...
6.06,17.66,0.271,F1V
6.72,5.63,0.394,F2/F3III
9.74,3.87,0.441,F2/F3IV
8.49,2.12,0.385,F2/F3IV/V
7.39,13.03,0.397,F2/F3IV/V
8.45,4.11,0.415,F2/F3IV/V
6.89,11.66,0.362,F2/F3V
6.15,23.62,0.388,F2/F3V
9.48,6.33,0.395,F2/F3V
10.24,3.82,0.402,F2/F3V
9.25,5.89,0.407,F2/F3V
9.53,7.42,0.41,F2/F3V
9.37,5.26,0.411,F2/F3V
8.55,7.31,0.417,F2/F3V
7.96,11.84,0.421,F2/F3V
9.45,7.8,0.427,F2/F3V
9.41,3.88,0.437,F2/F3V
10.03,4.93,0.441,F2/F3V
8.98,7.41,0.443,F2/F3V
9.23,3.97,0.46,F2/F3V
8.16,7.28,0.488,F2/F3V
6.95,0.57,0.414,F2Iab:
5.01,3.24,0.405,F2II
8.59,3.96,0.416,F2II
8.49,5.67,0.426,F2II/III
6.18,7.77,0.315,F2III
7.22,12.95,0.334,F2III
9.05,2.36,0.342,F2III
8.66,4.4,0.348,F2III
5.24,13.06,0.356,F2III
8.77,8.55,0.38,F2III
9.96,1.5,0.449,F2III
